Model: shufflenet_v2_x1_0_head_only
Epoch 1/10 | Train Loss: 1.3961 Acc: 0.6831 | Val Loss: 0.7957 Acc: 0.8083
Epoch 2/10 | Train Loss: 0.6371 Acc: 0.8346 | Val Loss: 0.6740 Acc: 0.8178
Epoch 3/10 | Train Loss: 0.4988 Acc: 0.8621 | Val Loss: 0.5995 Acc: 0.8308
Epoch 4/10 | Train Loss: 0.4219 Acc: 0.8867 | Val Loss: 0.5742 Acc: 0.8178
Epoch 5/10 | Train Loss: 0.3633 Acc: 0.8976 | Val Loss: 0.5669 Acc: 0.8130
Epoch 6/10 | Train Loss: 0.3190 Acc: 0.9145 | Val Loss: 0.5658 Acc: 0.8189
Epoch 7/10 | Train Loss: 0.3017 Acc: 0.9189 | Val Loss: 0.5687 Acc: 0.8154
Epoch 8/10 | Train Loss: 0.2698 Acc: 0.9311 | Val Loss: 0.5680 Acc: 0.8189
Epoch 9/10 | Train Loss: 0.2444 Acc: 0.9379 | Val Loss: 0.5712 Acc: 0.8189
Epoch 10/10 | Train Loss: 0.2343 Acc: 0.9346 | Val Loss: 0.5746 Acc: 0.8142

Model: efficientnet_b0_headonly
Epoch 1/10 | Train Loss: 1.8330 Acc: 0.5929 | Val Loss: 1.1190 Acc: 0.7882
Epoch 2/10 | Train Loss: 0.9201 Acc: 0.7820 | Val Loss: 0.8438 Acc: 0.7929
Epoch 3/10 | Train Loss: 0.7207 Acc: 0.8071 | Val Loss: 0.7284 Acc: 0.8154
Epoch 4/10 | Train Loss: 0.6239 Acc: 0.8314 | Val Loss: 0.6947 Acc: 0.8166
Epoch 5/10 | Train Loss: 0.5640 Acc: 0.8334 | Val Loss: 0.6714 Acc: 0.8142
Epoch 6/10 | Train Loss: 0.5192 Acc: 0.8553 | Val Loss: 0.6632 Acc: 0.8118
Epoch 7/10 | Train Loss: 0.4837 Acc: 0.8675 | Val Loss: 0.6548 Acc: 0.8095
Epoch 8/10 | Train Loss: 0.4715 Acc: 0.8592 | Val Loss: 0.6411 Acc: 0.8237
Epoch 9/10 | Train Loss: 0.4279 Acc: 0.8784 | Val Loss: 0.6470 Acc: 0.8047
Epoch 10/10 | Train Loss: 0.3992 Acc: 0.8905 | Val Loss: 0.6158 Acc: 0.8213

Model: shufflenet_v2_x1_0_headonly
Epoch 1/10 | Train Loss: 2.8735 Acc: 0.1178 | Val Loss: 2.7601 Acc: 0.1704
Epoch 2/10 | Train Loss: 2.6701 Acc: 0.2142 | Val Loss: 2.5757 Acc: 0.3408
Epoch 3/10 | Train Loss: 2.4865 Acc: 0.4228 | Val Loss: 2.4024 Acc: 0.4923
Epoch 4/10 | Train Loss: 2.3215 Acc: 0.5405 | Val Loss: 2.2563 Acc: 0.5728
Epoch 5/10 | Train Loss: 2.1790 Acc: 0.6059 | Val Loss: 2.1207 Acc: 0.6047
Epoch 6/10 | Train Loss: 2.0434 Acc: 0.6488 | Val Loss: 1.9902 Acc: 0.6308
Epoch 7/10 | Train Loss: 1.9250 Acc: 0.6796 | Val Loss: 1.8881 Acc: 0.6604
Epoch 8/10 | Train Loss: 1.8175 Acc: 0.6947 | Val Loss: 1.7840 Acc: 0.6757
Epoch 9/10 | Train Loss: 1.7164 Acc: 0.7186 | Val Loss: 1.6995 Acc: 0.6781
Epoch 10/10 | Train Loss: 1.6357 Acc: 0.7251 | Val Loss: 1.6255 Acc: 0.6817
